year_month,Parmesan,Soft Continental Cheese
2023-03,22.08742433333333,11.833282774747476
2023-04,22.186428678571428,11.823815767105264
2023-05,22.20130443478261,12.22245609868421
2023-06,22.187647154411763,11.73299537419355
2023-07,22.305211330985916,11.957305907305935
2023-08,22.03661769852941,12.203652131304349
2023-09,22.450859421875002,11.816902641150442
2023-10,21.74175576335878,12.095324027777778
2023-11,21.506969719696972,11.911981555760368
2023-12,21.005671671641792,11.992173866956522
2024-01,21.620225586466166,12.364545393073593
2024-02,21.140078171875,11.783721914798207
2024-03,20.552384753846155,11.902532125321889
2024-04,21.041748279720277,11.985148874042553
2024-05,21.260292,11.801336142241379
2024-06,21.480367669117648,12.118173851304348
2024-07,21.486330956834532,12.075670964935066
2024-08,21.674545468531466,11.865675617567566
2024-09,21.62398552173913,12.325367907792208
